vehiculo,nombre_original,nombre,posicion,stock,ubicacion,precio,ultimo_precio,venta,nota,observaciones
VERSA 2022,ALFOMBRA CAPOT,Alfombra Capot,,VENDIDO,SANTIAGO,,,,,
VERSA 2022,ALTERNADOR,Alternador,,DISPONIBLE,SANTIAGO,100000,90000,,,
VERSA 2022,AMORTIGUADOR DELANTERO IZQUIERDO,Amortiguador Delantero Izquierdo,Delantera,VENDIDO,SANTIAGO,65000,60000,,,
VERSA 2022,AMORTIGUADOR DELNATERO DERECHO,Amortiguador Delnatero Derecho,,VENDIDO,SANTIAGO,65000,60000,,,
VERSA 2022,AMORTIGUDOR TRASERO LH,Amortigudor Trasero,Trasera Izquierda,DISPONIBLE,SANTIAGO,,,,,
VERSA 2022,AMORTIGUDOR TRASERO RH,Amortigudor Trasero,Trasera Derecha,DISPONIBLE,SANTIAGO,,,,,
VERSA 2022,ASIENTO DELANTERO LH,Asiento Delantero,Delantera Izquierda,VENDIDO,SANTIAGO,80000,70000,,,
VERSA 2022,ASIENTO DELANTERO RH,Asiento Delantero,Delantera Derecha,VENDIDO,SANTIAGO,80000,70000,,,
VERSA 2022,AUXILIAR USB ,Auxiliar Usb ,,DISPONIBLE,SANTIAGO,20000,15000,,,
VERSA 2022,BANDEJA DERECHA,Bandeja Derecha,,VENDIDO,SANTIAGO,45000,40000,,,
VERSA 2022,BANDEJA IZQUIERDA,Bandeja Izquierda,,VENDIDO,SANTIAGO,45000,40000,,,
VERSA 2022,BASE DE TERMOSTATO,Base De Termostato,,DISPONIBLE,SANTIAGO,35700,30000,,,
VERSA 2022,BASE SOPORTE INFERIOR,Base Soporte Inferior,,DISPONIBLE,,35000,30000,,,Sin ubic
VERSA 2022,BIELETA LH,Bieleta,Izquierda,VENDIDO,SANTIAGO,10000,10000,,,
VERSA 2022,BIELETA RH,Bieleta,Derecha,VENDIDO,SANTIAGO,10000,10000,,,
VERSA 2022,BISAGRA PUERTA TRASERA LH,Bisagra Puerta Trasera,Trasera Izquierda,DISPONIBLE,SANTIAGO,,,,INFERIOR,
