vehiculo,nombre_original,nombre,posicion,stock,ubicacion,precio,ultimo_precio,venta,nota,observaciones
XTRAIL 2016,ABSORBEDOR DE IMPACTO PARACHOQUE DELANTERO,Absorbedor De Impacto Parachoque Delantero,Delantera,VENDIDO,SANTIAGO,25000,20000,,,
XTRAIL 2016,ALFOMBRA CUBRE RUEDA DE REPUESTO,Alfombra Cubre Rueda De Repuesto,,DISPONIBLE,,25000,20000,,,Sin ubic
XTRAIL 2016,ALTERNADOR,Alternador,,DISPONIBLE,SANTIAGO,110000,100000,,,
XTRAIL 2016,AMORTIGUADOR DELANTERO LH,Amortiguador Delantero,Delantera Izquierda,DISPONIBLE,SANTIAGO,90000,85000,,,
XTRAIL 2016,AMORTIGUADOR DELANTERO RH,Amortiguador Delantero,Delantera Derecha,DISPONIBLE,SANTIAGO,90000,85000,,,
XTRAIL 2016,AMORTIGUADOR TRASERO LH,Amortiguador Trasero,Trasera Izquierda,DISPONIBLE,SANTIAGO,,,,,
XTRAIL 2016,AMORTIGUADOR TRASERO RH,Amortiguador Trasero,Trasera Derecha,DISPONIBLE,SANTIAGO,,,,,
XTRAIL 2016,ASIENTO DELANTERO LH,Asiento Delantero,Delantera Izquierda,DISPONIBLE,SANTIAGO,65000,60000,,,
XTRAIL 2016,ASIENTO DELANTERO RH,Asiento Delantero,Delantera Derecha,DISPONIBLE,SANTIAGO,65000,60000,,,
XTRAIL 2016,ASIENTOS TRASEROS,Asientos Traseros,Trasera,DISPONIBLE,,65000,60000,,,Sin ubic
XTRAIL 2016,AUXILIAR USB ,Auxiliar Usb ,,DISPONIBLE,SANTIAGO,15000,10000,,,
XTRAIL 2016,BANDEJA DELANTERA LH ,Bandeja Delantera ,Delantera Izquierda,VENDIDO,SANTIAGO,45000,40000,,,
XTRAIL 2016,BANDEJA DELANTERA RH ,Bandeja Delantera ,Delantera Derecha,DISPONIBLE,SANTIAGO,45000,40000,,,
XTRAIL 2016,BANDEJA TRASERA LH,Bandeja Trasera,Trasera Izquierda,DISPONIBLE,SANTIAGO,,,,,
XTRAIL 2016,BANDEJA TRASERA RH,Bandeja Trasera,Trasera Derecha,DISPONIBLE,SANTIAGO,,,,,
XTRAIL 2016,BARRA TECHO LH,Barra Techo,Izquierda,VENDIDO,SANTIAGO,45000,40000,,EL PAR EN 75000 TRANSFERENCIA,
XTRAIL 2016,BARRA TECHO RH,Barra Techo,Derecha,VENDIDO,SANTIAGO,45000,40000,,EL PAR EN 70000 EFECTIVO,
XTRAIL 2016,BASE BATERÍA,Base Batería,,DISPONIBLE,SANTIAGO,20000,15000,,,
XTRAIL 2016,BASE SOPORTE,Base Soporte,,DISPONIBLE,SANTIAGO,35000,30000,,,
XTRAIL 2016,BASE TERMOSTATO,Base Termostato,,VENDIDO,SANTIAGO,,,,,
XTRAIL 2016,BCM ,Bcm ,,DISPONIBLE,SANTIAGO,120000,100000,,,
XTRAIL 2016,BISAGRA CAPOT LH,Bisagra Capot,Izquierda,VENDIDO,SANTIAGO,45000,40000,,,
XTRAIL 2016,BISAGRA CAPOT RH,Bisagra Capot,Derecha,VENDIDO,SANTIAGO,45000,40000,,,
XTRAIL 2016,BISAGRA DE PORTALÓN LH,Bisagra De Portalón,Izquierda,VENDIDO,SANTIAGO,20000,15000,,,
XTRAIL 2016,BISAGRA DE PORTALÓN RH,Bisagra De Portalón,Derecha,VENDIDO,SANTIAGO,20000,15000,,,
