vehiculo,nombre_original,nombre,posicion,stock,ubicacion,precio,ultimo_precio,venta,nota,observaciones,fecha_ingesta_estimada,hash_contenido,calidad_datos,requiere_revision
ZS 2021,AMORTIGUADOR DELANTERO RH,Amortiguador,Derecha Delantera,DISPONIBLE,SANTIAGO,80000.0,70000.0,,,AMORTIGUADOR mal escrito (debería ser AMORTIGUADOR); Posición RH detectada; Posición DELANTERO detectada,2025-11-24 02:14:41,adbee81ed6daf63217deb5fb6f7b4569a442a8e5eb88401c35a64283de857f98,90,NO
ZS 2021,BOBINA 1,Bobina 1,,DISPONIBLE,SANTIAGO,15000.0,10000.0,,,BOBINA mal escrito (debería ser BOBINA),2025-11-24 02:14:41,2e6218f7398c2fc296eee40d3c428ddca2a84d241d310524a9d3cb903a8f9227,90,NO
ZS 2021,BOBINA 2,Bobina 2,,DISPONIBLE,SANTIAGO,15000.0,10000.0,,,BOBINA mal escrito (debería ser BOBINA),2025-11-24 02:14:41,04f0129f6bb47932fba6b8e8fb8e34de44e4015ee020221b9527236920d69673,90,NO
ZS 2021,BOBINA 3,Bobina 3,,DISPONIBLE,SANTIAGO,15000.0,10000.0,,,BOBINA mal escrito (debería ser BOBINA),2025-11-24 02:14:41,6ffd3dd03e5727fdbe0d21d0b60b6767b3aa4752d7b2618a5445bbfabbdd932d,90,NO
ZS 2021,BOBINA 4,Bobina 4,,DISPONIBLE,SANTIAGO,15000.0,10000.0,,,BOBINA mal escrito (debería ser BOBINA),2025-11-24 02:14:41,846b3886e8cc17c4e04855405448be287d6ad00f4488c9d75df8dc5f60f814d6,90,NO
ZS 2021,BOMBA DE BENCINA,Bomba DE Bencina,,VENDIDO,SANTIAGO,60000.0,50000.0,,,BOMBA mal escrito (debería ser BOMBA),2025-10-25 02:14:41,793d3a76c1d679dc0d16047ade95a13b2a0eba156d244c3fc24b4d1e2f38aef1,90,NO
ZS 2021,BOMBA DE PEDAL DE EMBRAGUE,Bomba DE Pedal DE Embrague,,DISPONIBLE,SANTIAGO,0,0,,,BOMBA mal escrito (debería ser BOMBA); Precio es 0 - probablemente sin precio; Último precio es 0 - probablemente sin precio,2025-11-24 02:14:41,9ac4cdc65c3a3f99eddf96457c6b2367b6ee9c2c8043964fb0944dcff31c8be0,65,SI
ZS 2021,BOTÓN DE ALZAVIDRIOS TRASERO LH,Botón DE Alzavidrios,Izquierda Trasera,DISPONIBLE,SANTIAGO,0,0,,,Posición LH detectada; Posición TRASERO detectada; Precio es 0 - probablemente sin precio; Último precio es 0 - probablemente sin precio,2025-11-24 02:14:41,eb563e44b4100d39582aea70d5799ad20b870ab7161aa4ad06c7b9a4b7e4c0dd,75,NO
ZS 2021,BRAZO LIMPIAPARABRISAS TRASERO C/ MOTOR,Brazo Limpiaparabrisass C/ Motor,Trasera,DISPONIBLE,SANTIAGO,35000.0,30000.0,,,LIMPIAPARABRISA mal escrito (debería ser LIMPIAPARABRISAS); BRAZO mal escrito (debería ser BRAZO); Posición TRASERO detectada,2025-11-24 02:14:41,762d1a56d7146ce7f7668f0bcd3bcc2db3f0af30929a9951adc5054991601a41,90,NO
ZS 2021,CAJA,CAJA,,VENDIDO,SANTIAGO,0,0,,,Precio es 0 - probablemente sin precio; Último precio es 0 - probablemente sin precio,2025-10-25 02:14:41,6c6829006ee61f02b5ec9fd67afbf399a91b7360dc689bb49d5139deeae40283,85,NO
ZS 2021,CALIPER DELANTERO RH,Caliper,Derecha Delantera,DISPONIBLE,SANTIAGO,35700.0,30000.0,,,Posición RH detectada; Posición DELANTERO detectada,2025-11-24 02:14:41,ea384d24ad0184c7850c4727652d1550ea9f2070b8a87406e242ffb38d6987a8,100,NO
ZS 2021,CAÑERÍAS DE AIRE,Cañerías DE AIRE,,DISPONIBLE,SANTIAGO,0,0,,,AIRE mal escrito (debería ser AIRE); Precio es 0 - probablemente sin precio; Último precio es 0 - probablemente sin precio,2025-11-24 02:14:41,73810f78a1beaeddb649ed4332adedfd8ea40d0835b0de0316b7d7c53b059c0a,65,SI
ZS 2021,CHAPA CAPOT,Chapa CAPÓ,,DISPONIBLE,SANTIAGO,20000.0,15000.0,,,CAPOT mal escrito (debería ser CAPÓ); CAPO mal escrito (debería ser CAPÓ),2025-11-24 02:14:41,9749b72625de68078882111cade217e3ee427608b641e88c70b4876167890a6c,90,NO
ZS 2021,CHAPA PORTALÓN,Chapa Portalón,,DISPONIBLE,SANTIAGO,30000.0,25000.0,,,,2025-11-24 02:14:41,4e241ee2b51d120ca525ad995455e3f2437054038b4a5df42ec8482c94eb2efc,100,NO
ZS 2021,CINTA DE AIRBAG,Cinta DE Airbag,,DISPONIBLE,SANTIAGO,25000.0,20000.0,,,,2025-11-24 02:14:41,d7f1af018392eae644b057f1ab4aa990ff5d7cd1bb77135f824160d718d171b5,100,NO
ZS 2021,CREMALLERA DE ALZAVIDRIO DELANTERA LH,Cremallera DE Alzavidrio,Izquierda Delantera,DISPONIBLE,SANTIAGO,35700.0,30000.0,,,CREMALLERA mal escrito (debería ser CREMALLERA); Posición LH detectada; Posición DELANTERA detectada,2025-11-24 02:14:41,93886df46b49559137fb4d9258660e967d721322eba383e8d51a4ccc791af8c0,90,NO
ZS 2021,CREMALLERA DE ALZAVIDRIO TRASERA LH,Cremallera DE Alzavidrio,Izquierda Trasera,DISPONIBLE,SANTIAGO,35700.0,30000.0,,,CREMALLERA mal escrito (debería ser CREMALLERA); Posición LH detectada; Posición TRASERA detectada,2025-11-24 02:14:41,a35d18f9221f39766963310d1f1c598eef82e1b783f3a792b52ac3684c4ff6fe,90,NO
ZS 2021,CUBRE ZÓCALO LH,Cubre Zócalo,Izquierda,DISPONIBLE,SANTIAGO,30000.0,25000.0,,,Posición LH detectada,2025-11-24 02:14:41,2bfb715b65688c4e00b9b42f2f18cf477a3e38aec0c5ecf1eb61e15550adbb4b,100,NO
ZS 2021,CUERPO DE ACELERACIÓN,Cuerpo DE Aceleración,,DISPONIBLE,SANTIAGO,60000.0,50000.0,,,,2025-11-24 02:14:41,f4bc431ee353847dc658fdca7bfa56ef3779a24d58972bd2f53131f325c2c24e,100,NO
ZS 2021,CUNA,CUNA,,DISPONIBLE,SANTIAGO,0,0,,,Precio es 0 - probablemente sin precio; Último precio es 0 - probablemente sin precio,2025-11-24 02:14:41,016d6e3a383af686e9623281f0fdffd9ab6d5c6d245f589da54f65701d358dbf,75,NO
ZS 2021,DEPOSITO DE AGUA O LÍQUIDO REFRIGERANTE,Depósito DE AGUA O Líquido Refrigerante,,DISPONIBLE,SANTIAGO,15000.0,10000.0,,,DEPOSITO mal escrito (debería ser DEPÓSITO),2025-11-24 02:14:41,08c7bb02302d6ca65552e42e9b8502d6f38c5e17d1b65d1beee5641bc39a89a2,90,NO
ZS 2021,DISCO DE FRENO,Disco DE Freno,,DISPONIBLE,SANTIAGO,15000.0,10000.0,,,FRENO mal escrito (debería ser FRENO); DISCO mal escrito (debería ser DISCO),2025-11-24 02:14:41,ad5cdee21bf499ae8ff8a20c06ff71f3bad63bc6942c1546430f8d61a78dedd3,90,NO
ZS 2021,ESPEJO CENTRAL,Espejo,Central,VENDIDO,SANTIAGO,0,0,,,Posición CENTRAL detectada; Precio es 0 - probablemente sin precio; Último precio es 0 - probablemente sin precio,2025-10-25 02:14:41,5eef35efad66aa6e6ae9bd1463f431313fdce78e968fbc44ca2ec3185f758c66,85,NO
ZS 2021,ESPIRAL TRASERO LH,Espiral,Izquierda Trasera,DISPONIBLE,,15000.0,10000.0,,,Posición LH detectada; Posición TRASERO detectada; Sin ubicación especificada,2025-11-24 02:14:41,6127ebd26573e69929d88a66a6b37f8b0b5aefd41500b525aed284b8c4e33256,90,NO
ZS 2021,ESPIRAL TRASERO RH,Espiral,Derecha Trasera,DISPONIBLE,,15000.0,10000.0,,,Posición RH detectada; Posición TRASERO detectada; Sin ubicación especificada,2025-11-24 02:14:41,b2f42c6a25d28a90cfd03a19f9426ea1c0325e53f91b0da2614453312ed03caa,90,NO
ZS 2021,FUNDA DE PARACHOQUE TRASERO,Funda DE Parachoques,Trasera,DISPONIBLE,SANTIAGO,35700.0,30000.0,,,PARACHOQUE mal escrito (debería ser PARACHOQUES); Posición TRASERO detectada,2025-11-24 02:14:41,5ad2d11c6eaf6bbe2127723420b0471b5adf168021e2bf8e3939cb7357f6e835,90,NO
ZS 2021,GUANTERA,Guantera,,DISPONIBLE,SANTIAGO,20000.0,15000.0,,,,2025-11-24 02:14:41,2695e6e3f429fe31b6f1fc4c71158e01404260a4b3ee3b013d325111d28fae91,100,NO
ZS 2021,LOGO CON CHAPA PORTALÓN,LOGO CON Chapa Portalón,,DISPONIBLE,SANTIAGO,35000.0,30000.0,,,,2025-11-24 02:14:41,a80ec906c463d0b98d5e42071d183e03dfd1c403c631c62c5188c3a122aa215f,100,NO
ZS 2021,MANILLA EXTERIOR TRASERA LH,Manilla Exterior,Izquierda Trasera,DISPONIBLE,SANTIAGO,25000.0,20000.0,,,Posición LH detectada; Posición TRASERA detectada,2025-11-24 02:14:41,5551bf01606d43b95b8c5f932b78e6281d90c1a952d2f32cedcf9f3b758b049e,100,NO
ZS 2021,MAZA Y DISCO DE FRENO,MAZA Y Disco DE Freno,,DISPONIBLE,,0,0,,,FRENO mal escrito (debería ser FRENO); DISCO mal escrito (debería ser DISCO); Precio es 0 - probablemente sin precio; Último precio es 0 - probablemente sin precio; Sin ubicación especificada,2025-11-24 02:14:41,931269ea38f98bf49c269c1aa4191c541980f471e92c94825fce78ba7740defa,55,SI
ZS 2021,MÉNSULA DELANTERA RH,Ménsula,Derecha Delantera,DISPONIBLE,SANTIAGO,0,0,,,Posición RH detectada; Posición DELANTERA detectada; Precio es 0 - probablemente sin precio; Último precio es 0 - probablemente sin precio,2025-11-24 02:14:41,a2adb47c2f9f5281c9e26d150227c801450eb05fbf4b91def3a07449d8448cbb,75,NO
ZS 2021,MOLDURA PUERTA DELANTERA LH,Moldura Puerta,Izquierda Delantera,DISPONIBLE,SANTIAGO,0,0,,,Posición LH detectada; Posición DELANTERA detectada; Precio es 0 - probablemente sin precio; Último precio es 0 - probablemente sin precio,2025-11-24 02:14:41,da5fa071b66f5514ac06120612b12ef9ecf29ce410d933d3f64d96f9e94839fe,75,NO
