vehiculo,nombre_original,nombre,posicion,stock,ubicacion,precio,ultimo_precio,venta,nota,observaciones
ZS 2021,AMORTIGUADOR DELANTERO RH,Amortiguador Delantero,Delantera Derecha,DISPONIBLE,SANTIAGO,80000,70000,,,
ZS 2021,BOBINA 1,Bobina 1,,DISPONIBLE,SANTIAGO,15000,10000,,,
ZS 2021,BOBINA 2,Bobina 2,,DISPONIBLE,SANTIAGO,15000,10000,,,
ZS 2021,BOBINA 3,Bobina 3,,DISPONIBLE,SANTIAGO,15000,10000,,,
ZS 2021,BOBINA 4,Bobina 4,,DISPONIBLE,SANTIAGO,15000,10000,,,
ZS 2021,BOMBA DE BENCINA ,Bomba De Bencina ,,VENDIDO,SANTIAGO,60000,50000,,,
ZS 2021,BOMBA DE PEDAL DE EMBRAGUE,Bomba De Pedal De Embrague,,DISPONIBLE,SANTIAGO,,,,,
ZS 2021,BOTÓN DE ALZAVIDRIOS TRASERO LH,Botón De Alzavidrios Trasero,Trasera Izquierda,DISPONIBLE,SANTIAGO,,,,,
ZS 2021,BRAZO LIMPIAPARABRISAS TRASERO C/ MOTOR,Brazo Limpiaparabrisas Trasero C/ Motor,Trasera,DISPONIBLE,SANTIAGO,35000,30000,,,
ZS 2021,CAJA,Caja,,VENDIDO,SANTIAGO,,,,,
ZS 2021,CALIPER DELANTERO RH,Caliper Delantero,Delantera Derecha,DISPONIBLE,SANTIAGO,35700,30000,,,
ZS 2021,CAÑERÍAS DE AIRE,Cañerías De Aire,,DISPONIBLE,SANTIAGO,,,,,
ZS 2021,CHAPA CAPOT,Chapa Capot,,DISPONIBLE,SANTIAGO,20000,15000,,,
ZS 2021,CHAPA PORTALÓN,Chapa Portalón,,DISPONIBLE,SANTIAGO,30000,25000,,,
ZS 2021,CINTA DE AIRBAG,Cinta De Airbag,,DISPONIBLE,SANTIAGO,25000,20000,,,
