vehiculo,nombre_original,nombre,posicion,stock,ubicacion,precio,ultimo_precio,venta,nota,observaciones
116I 2006,AIRBAG DE CORTINA LH,Airbag De Cortina,Izquierda,DISPONIBLE,SANTIAGO,55000,50000,,,
116I 2006,AIRBAG DE CORTINA RH,Airbag De Cortina,Derecha,DISPONIBLE,SANTIAGO,55000,50000,,,
116I 2006,ALTERNADOR,Alternador,,VENDIDO,SANTIAGO,90000,85000,,,
116I 2006,AMORTIGUADOR DELANTERO LH,Amortiguador,Delantera Izquierda,VENDIDO,SANTIAGO,55000,50000,,,
116I 2006,AMORTIGUADOR DELANTERO RH,Amortiguador,Delantera Derecha,VENDIDO,SANTIAGO,90000,80000,,,
116I 2006,AMORTIGUADOR PORTALÓN LH,Amortiguador Portalón,Izquierda,VENDIDO,SANTIAGO,25000,20000,,,
116I 2006,AMORTIGUADOR PORTALÓN RH,Amortiguador Portalón,Derecha,VENDIDO,SANTIAGO,25000,20000,,,
116I 2006,AMORTIGUADOR TRASERO LH,Amortiguador,Trasera Izquierda,VENDIDO,SANTIAGO,30000,25000,,,
116I 2006,AMORTIGUADOR TRASERO RH,Amortiguador,Trasera Derecha,VENDIDO,SANTIAGO,30000,25000,,,
116I 2006,AMPLIFICADOR,Amplificador,,VENDIDO,SANTIAGO,,,,,
116I 2006,ANTENA,Antena,,DISPONIBLE,SANTIAGO,,,,,
116I 2006,ASIENTO DELANTERO LH,Asiento,Delantera Izquierda,NO DISPONIBLE,N/A,,,,,Último precio dice MALO - no es precio
116I 2006,ASIENTO DELANTERO RH,Asiento,Delantera Derecha,DISPONIBLE,SANTIAGO,60000,50000,,,
116I 2006,ASIENTOS TRASEROS,Asiento,Trasera,DISPONIBLE,REQUINOA,60000,50000,,,Nombre en plural - son 2 asientos
116I 2006,AUXILIAR,Auxiliar,,DISPONIBLE,SANTIAGO,15000,10000,,,Nombre tiene espacio extra al final
116I 2006,BANDEJA DELANTERA INFERIOR LH,Bandeja,Delantera Inferior Izquierda,VENDIDO,SANTIAGO,45000,40000,,PEQUEÑA,
116I 2006,BANDEJA DELANTERA INFERIOR RH,Bandeja,Delantera Inferior Derecha,VENDIDO,SANTIAGO,45000,40000,,PEQUEÑA,
116I 2006,BANDEJA DELANTERA SUPERIOR LH,Bandeja,Delantera Superior Izquierda,VENDIDO,SANTIAGO,50000,45000,,GRANDE,
116I 2006,BANDEJA DELANTERA SUPERIOR RH,Bandeja,Delantera Superior Derecha,VENDIDO,SANTIAGO,50000,45000,,GRANDE,
116I 2006,BANDEJA TRASERA GRANDE LH,Bandeja,Trasera Izquierda,VENDIDO,SANTIAGO,,,HAWAIANA,,GRANDE en el nombre original
116I 2006,BANDEJA TRASERA GRANDE RH,Bandeja,Trasera Derecha,VENDIDO,SANTIAGO,,,HAWAIANA,,GRANDE en el nombre original
116I 2006,BANDEJA TRASERA HORQUILLA LH,Bandeja Horquilla,Trasera Izquierda,DISPONIBLE,SANTIAGO,,,,,
116I 2006,BANDEJA TRASERA HORQUILLA RH,Bandeja Horquilla,Trasera Derecha,DISPONIBLE,SANTIAGO,,,,,
116I 2006,BANDEJA TRASERA MEDIANA LH,Bandeja,Trasera Izquierda,DISPONIBLE,SANTIAGO,,,,,MEDIANA en el nombre original
116I 2006,BANDEJA TRASERA MEDIANA RH,Bandeja,Trasera Derecha,DISPONIBLE,SANTIAGO,,,,,MEDIANA en el nombre original
116I 2006,BANDEJA TRASERA PEQUEÑA LH,Bandeja,Trasera Izquierda,DISPONIBLE,SANTIAGO,,,,,PEQUEÑA en el nombre original
116I 2006,BANDEJA TRASERA PEQUEÑA RH,Bandeja,Trasera Derecha,DISPONIBLE,SANTIAGO,,,,,PEQUEÑA en el nombre original
116I 2006,BARRA ESTABILIZADORA,Barra Estabilizadora,,DISPONIBLE,SANTIAGO,30000,25000,,,
116I 2006,BASE DE BATERÍA,Base De Batería,,DISPONIBLE,SANTIAGO,,,,,
116I 2006,BASE DE DE COMPRESOR DE AIRE ACODICIONADO,Base De Compresor De Aire Acondicionado,,DISPONIBLE,SANTIAGO,35000,30000,,,Tiene DE DE duplicado; ACODICIONADO mal escrito
116I 2006,BASE DE TERMOSTATO,Base De Termostato,,POR CONFIRMAR,REQUINOA,,,,,
116I 2006,BIELETA LH,Bieleta,Izquierda,DISPONIBLE,SANTIAGO,15000,10000,,,
116I 2006,BIELETA RH,Bieleta,Derecha,DISPONIBLE,SANTIAGO,15000,10000,,,
116I 2006,BISAGRA CAPOT LH,Bisagra Capot,Izquierda,DISPONIBLE,SANTIAGO,25000,20000,,,
116I 2006,BISAGRA CAPOT RH,Bisagra Capot,Derecha,DISPONIBLE,SANTIAGO,25000,20000,,,
116I 2006,BISAGRA PORTALÓN LH,Bisagra Portalón,Izquierda,DISPONIBLE,SANTIAGO,,,,,
116I 2006,BISEL DE SINÓPTICO,Bisel De Sinóptico,,DISPONIBLE,SANTIAGO,20000,15000,,,
116I 2006,BISEL TABLERO,Bisel Tablero,,DISPONIBLE,SANTIAGO,20000,15000,,,
116I 2006,BLOCK,Block,,DISPONIBLE,SANTIAGO,100000,80000,,SOLO,
116I 2006,BOBINA 1,Bobina 1,,VENDIDO,SANTIAGO,25000,20000,,,Número en el nombre
116I 2006,BOBINA 2,Bobina 2,,DISPONIBLE,SANTIAGO,25000,20000,,,Número en el nombre
116I 2006,BOBINA 3,Bobina 3,,DISPONIBLE,SANTIAGO,25000,20000,,,Número en el nombre
116I 2006,BOBINA 4,Bobina 4,,DISPONIBLE,SANTIAGO,25000,20000,,,Número en el nombre
116I 2006,BOMBA AUXILIAR DE CALEFACCIÓN,Bomba Auxiliar De Calefacción,,DISPONIBLE,SANTIAGO,,,,,Espacio extra al final
116I 2006,BOMBA DE ACEITE,Bomba De Aceite,,DISPONIBLE,SANTIAGO,60000,50000,,,
116I 2006,BOMBA DE BENCINA,Bomba De Bencina,,DISPONIBLE,SANTIAGO,120000,110000,,2 PARTES,Espacio extra al final; son 2 partes
116I 2006,BOMBA DE PEDAL DE EMBRAGUE,Bomba De Pedal De Embrague,,VENDIDO,SANTIAGO,,,,,
116I 2006,BOMBA HIDRÁULICA,Bomba Hidráulica,,VENDIDO,SANTIAGO,90000,80000,,BOMBA DE DIRECCIÓN,Espacio extra al final; nota aclara uso
116I 2006,BOMBA Y DEPÓSITO DE FRENO,Bomba Y Depósito De Freno,,DISPONIBLE,SANTIAGO,60000,50000,,,Son 2 piezas en una
116I 2006,BORNER POSITIVO BATERÍA,Borner Positivo Batería,,DISPONIBLE,SANTIAGO,40000,35000,,,Espacio extra al final
116I 2006,BOTÓN DE ALZAVIDRIOS DELANTERO RH,Botón De Alzavidrios,Delantera Derecha,NO DISPONIBLE,SANTIAGO,15000,10000,,,
116I 2006,BOTÓN DE ALZAVIDRIOS TRASERA LH,Botón De Alzavidrios,Trasera Izquierda,VENDIDO,SANTIAGO,15000,10000,,,
116I 2006,BOTÓN DE ALZAVIDRIOS TRASERA RH,Botón De Alzavidrios,Trasera Derecha,VENDIDO,SANTIAGO,15000,10000,,,
116I 2006,BOTÓN DE ENCENDIDO,Botón De Encendido,,DISPONIBLE,SANTIAGO,25000,20000,,,Espacio extra al final
116I 2006,"BOTÓN HAZARD, DTC Y APERTURA DE PUERTAS",Botón Hazard Dtc Y Apertura De Puertas,,DISPONIBLE,SANTIAGO,25000,20000,,,Múltiples funciones en un solo botón
116I 2006,BOTONERA ALZAVIDRIO DELANTERA LH,Botonera Alzavidrio,Delantera Izquierda,NO DISPONIBLE,,,,,,Espacio extra al final; sin ubicación
116I 2006,BOTONERA DE ALZAVIDRIOS DELANTERA LH,Botonera De Alzavidrios,Delantera Izquierda,VENDIDO,SANTIAGO,50000,45000,,,
116I 2006,BRAZO LIMPIAPARABRISAS DELANTERO LH,Brazo Limpiaparabrisas,Delantera Izquierda,VENDIDO,SANTIAGO,20000,15000,,,
116I 2006,BRAZO LIMPIAPARABRISAS DELANTERO RH,Brazo Limpiaparabrisas,Delantera Derecha,VENDIDO,SANTIAGO,20000,15000,,,
116I 2006,BRAZO LIMPIAPARABRISAS TRASERO,Brazo Limpiaparabrisas,Trasera,VENDIDO,SANTIAGO,20000,15000,,DE PORTALÓN,
116I 2006,CAJA DE CAMBIOS,Caja De Cambios,,VENDIDO,SANTIAGO,290000,280000,,,
116I 2006,CALIPER DELANTERO LH,Caliper,Delantera Izquierda,VENDIDO,SANTIAGO,70000,60000,,,
116I 2006,CALIPER DELANTERO RH,Caliper,Delantera Derecha,DISPONIBLE,SANTIAGO,70000,60000,,,
116I 2006,CALIPER TRASERO LH,Caliper,Trasera Izquierda,DISPONIBLE,SANTIAGO,70000,60000,,,
116I 2006,CALIPER TRASERO RH,Caliper,Trasera Derecha,DISPONIBLE,SANTIAGO,70000,60000,,,
116I 2006,CANISTER,Canister,,VENDIDO,SANTIAGO,60000,50000,,,
116I 2006,CAÑERÍA DE AGUA,Cañería De Agua,,DISPONIBLE,SANTIAGO,,,BORDEA EL MOTOR,,
116I 2006,CAÑERÍA DE AIRE JUEGO,Cañería De Aire,,DISPONIBLE,SANTIAGO,83000,70000,,,JUEGO indica son varias
116I 2006,CAÑERÍA DE BENCINA,Cañería De Bencina,,DISPONIBLE,SANTIAGO,,,SALIDA BOMBA DE ALTA,,Espacio extra al final
116I 2006,CAÑERIA DE COMBUSTIBLE,Cañería De Combustible,,DISPONIBLE,SANTIAGO,,,,,Espacio extra al final; CAÑERIA sin tilde
