vehiculo,nombre_original,nombre,posicion,stock,ubicacion,precio,ultimo_precio,venta,nota,observaciones
OTROS,CAPOT MONTERO,CAPÓ Montero,,VENDIDO,SANTIAGO,160000.0,160000.0,,,CAPOT mal escrito (debería ser CAPÓ); CAPO mal escrito (debería ser CAPÓ)
OTROS,DEPOSITO LIMPIAPARABRISAS CARLOS,Depósito Limpiaparabrisass Carlos,,VENDIDO,SANTIAGO,0,0,,,LIMPIAPARABRISA mal escrito (debería ser LIMPIAPARABRISAS); DEPOSITO mal escrito (debería ser DEPÓSITO); CARLOS es nombre de persona - revisar; Precio es 0 - probablemente sin precio; Último precio es 0 - probablemente sin precio
OTROS,DEPOSITO LIMPIAPARABRISAS CARLOS MORNING,Depósito Limpiaparabrisass Carlos Morning,,VENDIDO,SANTIAGO,0,0,,,LIMPIAPARABRISA mal escrito (debería ser LIMPIAPARABRISAS); DEPOSITO mal escrito (debería ser DEPÓSITO); CARLOS es nombre de persona - revisar; Precio es 0 - probablemente sin precio; Último precio es 0 - probablemente sin precio
OTROS,FUNDA DE PARACHOQUE DELANTERO BALENO NICO,Funda DE Parachoques Baleno NICO,Delantera,DISPONIBLE,SANTIAGO,0,0,,,PARACHOQUE mal escrito (debería ser PARACHOQUES); Posición DELANTERO detectada; NICO es nombre de persona - revisar; Precio es 0 - probablemente sin precio; Último precio es 0 - probablemente sin precio
OTROS,FUNDA DE PARACHOQUE DELANTERO BALENO NICO,Funda DE Parachoques Baleno NICO,Delantera,DISPONIBLE,SANTIAGO,0,0,,,PARACHOQUE mal escrito (debería ser PARACHOQUES); Posición DELANTERO detectada; NICO es nombre de persona - revisar; Precio es 0 - probablemente sin precio; Último precio es 0 - probablemente sin precio
OTROS,FUNDA DE PARACHOQUE DELANTERO CX70 CON REJILLAS NICO,Funda DE Parachoques Cx70 CON Rejillas NICO,Delantera,DISPONIBLE,SANTIAGO,0,0,,,PARACHOQUE mal escrito (debería ser PARACHOQUES); Posición DELANTERO detectada; NICO es nombre de persona - revisar; Precio es 0 - probablemente sin precio; Último precio es 0 - probablemente sin precio
OTROS,FUNDA DE PARACHOQUE DELANTERO CX70 NICO,Funda DE Parachoques Cx70 NICO,Delantera,DISPONIBLE,SANTIAGO,0,0,,,PARACHOQUE mal escrito (debería ser PARACHOQUES); Posición DELANTERO detectada; NICO es nombre de persona - revisar; Precio es 0 - probablemente sin precio; Último precio es 0 - probablemente sin precio
OTROS,FUNDA DE PARACHOQUE DELANTERO MG ZS NICO,Funda DE Parachoques MG ZS NICO,Delantera,DISPONIBLE,SANTIAGO,0,0,,,PARACHOQUE mal escrito (debería ser PARACHOQUES); Posición DELANTERO detectada; NICO es nombre de persona - revisar; Precio es 0 - probablemente sin precio; Último precio es 0 - probablemente sin precio
OTROS,FUNDA DE PARACHOQUE DELANTERO OUTLANDER NICO,Funda DE Parachoques Outlander NICO,Delantera,DISPONIBLE,SANTIAGO,0,0,,,PARACHOQUE mal escrito (debería ser PARACHOQUES); Posición DELANTERO detectada; NICO es nombre de persona - revisar; Precio es 0 - probablemente sin precio; Último precio es 0 - probablemente sin precio
OTROS,FUNDA DE PARACHOQUE DELANTERO SAIL NICO,Funda DE Parachoques SAIL NICO,Delantera,DISPONIBLE,SANTIAGO,0,0,,,PARACHOQUE mal escrito (debería ser PARACHOQUES); Posición DELANTERO detectada; NICO es nombre de persona - revisar; Precio es 0 - probablemente sin precio; Último precio es 0 - probablemente sin precio
