vehiculo,nombre,posicion,stock_estado,ubicacion,precio,ultimo_precio,venta,nota,observaciones
OTROS,Capot Montero,,VENDIDO,SANTIAGO,160000.0,160000.0,,,
OTROS,Deposito Limpiaparabrisas Carlos,,VENDIDO,SANTIAGO,,,,,"Termino especial ""carlos"""
OTROS,Deposito Limpiaparabrisas Carlos Morning,,VENDIDO,SANTIAGO,,,,,"Termino especial ""carlos"""
OTROS,Funda De Parachoque Baleno Nico,Delantera,DISPONIBLE,SANTIAGO,,,,,"Termino especial ""nico"""
OTROS,Funda De Parachoque Baleno Nico,Delantera,DISPONIBLE,SANTIAGO,,,,,"Termino especial ""nico"""
OTROS,Funda De Parachoque Cx70 Con Rejillas Nico,Delantera,DISPONIBLE,SANTIAGO,,,,,"Termino especial ""nico""; Nombre contiene números"
OTROS,Funda De Parachoque Cx70 Nico,Delantera,DISPONIBLE,SANTIAGO,,,,,"Termino especial ""nico""; Nombre contiene números"
OTROS,Funda De Parachoque Mg Zs Nico,Delantera,DISPONIBLE,SANTIAGO,,,,,"Termino especial ""nico"""
OTROS,Funda De Parachoque Outlander Nico,Delantera,DISPONIBLE,SANTIAGO,,,,,"Termino especial ""nico"""
OTROS,Funda De Parachoque Sail Nico,Delantera,DISPONIBLE,SANTIAGO,,,,,"Termino especial ""nico"""
OTROS,Funda De Parachoque Tiggo Nico,Delantera,DISPONIBLE,SANTIAGO,,,,,"Termino especial ""nico"""
OTROS,Funda De Parachoque Kia Rio,Trasera,DISPONIBLE,SANTIAGO,,,,,
OTROS,Llanta,,VENDIDO,SANTIAGO,,,,,
OTROS,Llanta De Repuesto Kia,,DISPONIBLE,SANTIAGO,40000.0,35000.0,,,
OTROS,Llanta Y Rueda De Repuesto Camaro,,DISPONIBLE,SANTIAGO,60000.0,50000.0,,,Posible múltiple repuesto
OTROS,Máscara Fiesta,,VENDIDO,SANTIAGO,15000.0,15000.0,,,
OTROS,Ménsula Mazda Cx5,Delantera Izquierda,DISPONIBLE,SANTIAGO,,,,,Nombre contiene números
OTROS,Ménsula Mazda Cx5,Delantera Derecha,DISPONIBLE,SANTIAGO,,,,,Nombre contiene números
OTROS,Moldura De Tapabarro Subaru Xv,Delantera Derecha,DISPONIBLE,SANTIAGO,,,,CON RALLONES,
OTROS,Moldura Puera,Trasera Derecha,DISPONIBLE,SANTIAGO,,,,,
OTROS,Óptico Pilot,Izquierda,DISPONIBLE,SANTIAGO,,,,CON DETALLE EN LA MICA,
OTROS,Óptico Tiggo,Izquierda,DISPONIBLE,SANTIAGO,,,,NICO Y CON DETALLE,
OTROS,Óptico Tiggo,Derecha,VENDIDO,SANTIAGO,,,,NICO Y CON DETALLE,
OTROS,Puerta Citroen Xsara D-Rh,Delantera,DISPONIBLE,SANTIAGO,45000.0,40000.0,,,
OTROS,Puerta Citroen Xsara T-Lh,Trasera,DISPONIBLE,SANTIAGO,45000.0,40000.0,,,
OTROS,Radio Focus Carlos,,VENDIDO,SANTIAGO,,,,,"Termino especial ""carlos"""
